RunId,iteration,Step,width,height,seed,authority,authority_density,Mean Knowledge,Mean Behavior,Net Health Belief
3,0,0,50,50,0,False,0.25,-0.00024898377631012955,0.5136,0.019852224800513275
3,0,1,50,50,0,False,0.25,0.0019110162236898717,0.5204,0.020059963503987935
3,0,2,50,50,0,False,0.25,0.005071016223689871,0.518,0.020254686079168065
3,0,3,50,50,0,False,0.25,0.01103101622368987,0.5168,0.02018044564841805
3,0,4,50,50,0,False,0.25,0.012511016223689872,0.5164,0.02040881967687309
3,0,5,50,50,0,False,0.25,0.01503101622368987,0.5152,0.02060206313661632
3,0,6,50,50,0,False,0.25,0.01979101622368986,0.5104,0.02088517907408723
3,0,7,50,50,0,False,0.25,0.03075101622368986,0.514,0.02216304795195293
3,0,8,50,50,0,False,0.25,0.034071016223689875,0.5116,0.023606652394373456
3,0,9,50,50,0,False,0.25,0.03979101622368987,0.512,0.02521387946475296
3,0,10,50,50,0,False,0.25,0.040911016223689874,0.5168,0.027073653762217344
3,0,11,50,50,0,False,0.25,0.05035101622368987,0.5128,0.028339732136272586
3,0,12,50,50,0,False,0.25,0.05491101622368985,0.5104,0.02963961178849503
3,0,13,50,50,0,False,0.25,0.06147101622368989,0.516,0.03089708128736418
3,0,14,50,50,0,False,0.25,0.07111101622368987,0.5148,0.03296944716776194
3,0,15,50,50,0,False,0.25,0.0785910162236899,0.522,0.0344358668858938
3,0,16,50,50,0,False,0.25,0.09915101622368987,0.5272,0.03631801535527122
3,0,17,50,50,0,False,0.25,0.11999101622368988,0.5252,0.03850019076737138
3,0,18,50,50,0,False,0.25,0.14723101622368986,0.5244,0.04070249551295387
3,0,19,50,50,0,False,0.25,0.1616310162236899,0.5232,0.043345195912034354
3,0,20,50,50,0,False,0.25,0.18879101622368985,0.5276,0.047260671516585674
3,0,21,50,50,0,False,0.25,0.21171101622368987,0.528,0.05178999641554533
3,0,22,50,50,0,False,0.25,0.2353510162236899,0.5268,0.05542368414194784
3,0,23,50,50,0,False,0.25,0.2785910162236899,0.5272,0.05950412387166871
3,0,24,50,50,0,False,0.25,0.3127910162236899,0.528,0.06306750716545365
3,0,25,50,50,0,False,0.25,0.35235101622368986,0.5304,0.0669037578844777
3,0,26,50,50,0,False,0.25,0.39619101622368985,0.5348,0.07080625440959164
3,0,27,50,50,0,False,0.25,0.4217910162236899,0.5372,0.07429667434649376
3,0,28,50,50,0,False,0.25,0.4654710162236899,0.54,0.07750478159523336
3,0,29,50,50,0,False,0.25,0.5082310162236898,0.542,0.08150660502017422
3,0,30,50,50,0,False,0.25,0.5466310162236898,0.5428,0.08462170776556481
3,0,31,50,50,0,False,0.25,0.5890310162236899,0.5456,0.08691312514924263
3,0,32,50,50,0,False,0.25,0.63447101622369,0.546,0.08904958148364353
3,0,33,50,50,0,False,0.25,0.6643110162236898,0.5476,0.0903793684300603
3,0,34,50,50,0,False,0.25,0.7188710162236899,0.5476,0.0918444150518598
3,0,35,50,50,0,False,0.25,0.7743110162236899,0.5464,0.09323092353056345
3,0,36,50,50,0,False,0.25,0.8316310162236897,0.5464,0.09433466558145685
3,0,37,50,50,0,False,0.25,0.8870710162236899,0.546,0.09563004217514745
3,0,38,50,50,0,False,0.25,0.95379101622369,0.5452,0.09690672273867348
3,0,39,50,50,0,False,0.25,1.01019101622369,0.5468,0.0975030088384197
3,0,40,50,50,0,False,0.25,1.06799101622369,0.5496,0.09808360319339358
3,0,41,50,50,0,False,0.25,1.14055101622369,0.5508,0.09933423732422557
3,0,42,50,50,0,False,0.25,1.21015101622369,0.5508,0.10081408946261008
3,0,43,50,50,0,False,0.25,1.28679101622369,0.5508,0.10225085969127791
3,0,44,50,50,0,False,0.25,1.36203101622369,0.5496,0.10343146483791159
3,0,45,50,50,0,False,0.25,1.42979101622369,0.5504,0.10463007015741312
3,0,46,50,50,0,False,0.25,1.5328710162236898,0.5528,0.10598467048082096
3,0,47,50,50,0,False,0.25,1.5960710162236902,0.5528,0.10700002003656646
3,0,48,50,50,0,False,0.25,1.6911910162236898,0.5556,0.10796442158715906
3,0,49,50,50,0,False,0.25,1.7931910162236897,0.5556,0.10912249223049994
3,0,50,50,50,0,False,0.25,1.8864710162236902,0.5548,0.10979942182502334
3,0,51,50,50,0,False,0.25,1.97207101622369,0.5556,0.11000878405876596
3,0,52,50,50,0,False,0.25,2.06479101622369,0.5544,0.11050991804306388
3,0,53,50,50,0,False,0.25,2.14095101622369,0.5548,0.11034858203381659
3,0,54,50,50,0,False,0.25,2.24863101622369,0.5556,0.11054879928428167
3,0,55,50,50,0,False,0.25,2.3529510162236895,0.5552,0.11132521780313313
3,0,56,50,50,0,False,0.25,2.45791101622369,0.5548,0.11183421340826394
3,0,57,50,50,0,False,0.25,2.56663101622369,0.5548,0.11262420073425579
3,0,58,50,50,0,False,0.25,2.6744310162236897,0.558,0.11382346252118297
3,0,59,50,50,0,False,0.25,2.7861110162236904,0.558,0.11475747886221337
3,0,60,50,50,0,False,0.25,2.8935510162236895,0.5576,0.11527635307188348
3,0,61,50,50,0,False,0.25,3.01571101622369,0.5564,0.1156093904278502
3,0,62,50,50,0,False,0.25,3.13103101622369,0.5572,0.11553925549017074
3,0,63,50,50,0,False,0.25,3.2477110162236897,0.5576,0.11600567473048881
3,0,64,50,50,0,False,0.25,3.36647101622369,0.5572,0.11665574045317825
3,0,65,50,50,0,False,0.25,3.4687910162236903,0.558,0.11700286921921534
3,0,66,50,50,0,False,0.25,3.5897510162236896,0.5592,0.11824719722696554
